id	wolof	arabic	french_source	source_dataset	source_type
wo-ar-0935	bor bi ñu bokk yées juróom-ñaar-fukk ci téeméer boo jël ci li réew mi am ci at mi yépp (PIB) bi (70%),	أن يكون الدين المشارك أقل من سبعين بالمائة (70%) من الناتج المحلي الإجمالي (PIB)،	Une condition sine qua none fixée aux pays souhaitant faire partie de la future zone monétaire est la satisfaction des critères dits de convergence :– Dette publique inférieure à 70% du PIB ;– Déficit budgétaire inférieur à 3% du PIB ;– Taux d’inflation inférieur à 10% ;– Réserves de change couvrant au moins 3 mois d’importation ;– Etc.	mafand	Senegalese News (MAFAND)
wo-ar-0534	Bu ñu sukkandikoo ci Apanews, àttekati Mbootaayu Futbal gi ci Afirig génne na Ginne ci joŋante bi war a am ca Tanzanie,	وبحسب لجنة تحكيم الاتحاد الإفريقي لكرة القدم، نقلا عن أبانيوز، تم استبعاد غينيا من البطولة التي تنظم في تنزانيا،	Selon le jury de la CAF, cité par Apanews, la Guinée est exclue du tournoi organisé en Tanzanie et ses résultats obtenus durant cette CAN sont annulés.	mafand	Senegalese News (MAFAND)
wo-ar-0217	Ci noonu, dafay wuuteeg bépp xeetu dagg lempo yépp ndax kiy natt moom am na loo xam ne dafay dellusi ci moom,	وبهذا فإنها تتميز عن الضرائب بأنواعها من حيث أن من يؤدي الاشتراكات له مقابل يعود إليه؛	Par cela, ils se distinguent des impositions de toutes natures en ce sens que celui qui a payé les cotisations dispose d'une contrepartie directe et individuelle, il a droit à une prestation d'assurance en retour, par exemple, le remboursement des dépenses de santé, le droit à une pension de retraite, à l'inverse des impositions de toute nature qui sont prélevées sans contrepartie.	mafand	Senegalese News (MAFAND)
wo-ar-0111	Laaj yi : lu tax liggéeykat yi waaf booba ba léegi: ngir jàll ci dajale alal jépp ak bérébu liggééyukaay yi ndàmpaay yi soxal ?	الأسئلة: لماذا امتنعت العملاء حتى الآن عن إجراء إحصاء شامل للدخل والهيئات المعنية من هذه الإعفاءات؟	Questions : pourquoi vos services se sont abstenus, jusqu’à présent :de procéder au recensement exhaustif des revenus et corps concernés par ces exonérations indues ?	mafand	Senegalese News (MAFAND)
wo-ar-0390	Ak lu mana am, tekkaaral ak yëngoodi gu kujje gi moom lay jariñ!	على كل حال، فالانتظار والترقب يخدم المعارضة!		MasakhaNER	Senegalese News (MasakhaNER)
wo-ar-1183	"""Dinañu dem bégee ko ñun ñaar ñépp ci ab tàggat-yaram bu ñu naan kàrtiŋ (maanaam ndawalum kàrt), dinañu ci am nataal yu rafet "", noonu la ko waxe ci ay kaf."	"قال مازحا: ""سنذهب ونحتفل كلانا من خلال ممارسة رياضة الكارتينغ (بمعنى قيادة الكارت)، وسنقوم بالتقاط صور رائعة""."	On ira fêter ça tous les deux sur un circuit en karting, ça fera une belle photo, lance-t-il sous forme de boutade.	mafand	Senegalese News (MAFAND)
wo-ar-0113	Jot na dëggit ñu xoolaat nekkinu ñi ñuy teewal, njëkk ñu leen di batale ngir ñu teewal waa Afirig sowu jant.	لقد حان الوقت حقا لإعادة النظر في سلوك ممثلينا قبل تفويضهم لتمثيل غرب أفريقيا.	il est vraiment temps de revoir les comportements de nos représentants avant de les déléguer pour représenter l'Afrique de l'Ouest.	mafand	Senegalese News (MAFAND)
wo-ar-0443	Ku am jabar ak ñaari doom, M.D.W lañu taxawaloon ca këru àtte ga ca Njaaréem ndax dañu ko tuumaal ne daa jël gune gu tuuti ba pare, yóbbu ko, siif ko.	مُثل م.د.و، متزوج وأب لطفلين، أمام المحكمة في ديوربل بتهمة إبعاد قاصر ثم اغتصابه.	Marié à une épouse et père de deux enfants, M. D. W a été déféré au tribunal de grande instance de Diourbel pour détournement de mineure suivi de viol.	mafand	Senegalese News (MAFAND)
wo-ar-0116	Jot naa sëy ak moom ay yoon yu bare.	مارست الجنس معه عدة مرات.	J'ai fait plusieurs fois des rapports sexuels avec lui.	mafand	Senegalese News (MAFAND)
wo-ar-0585	Loolu la mooy wax ji, nañu ko nangu rekk.	هذا هو الواقع، علينا فقط أن نتقبله.	c'est tout il faut accepter cette réalité.	mafand	Senegalese News (MAFAND)
wo-ar-1121	Dinañu am ay gan yu mel ni ay kuréli diiney katolig ak yu lislaam.	سيكون لدينا ضيوف كجمعيات دينية كاثوليكية وإسلامية.	Nous aurons comme invités des associations religieuses catholiques et musulmanes.	mafand	Senegalese News (MAFAND)
wo-ar-0449	Moo doonoon koñ boo xam ne, nu ma ko mën a waxe sax ?	لقد كان هذا النوع من الحي، كيف يمكنني أن أعبره؟	C’était le genre de quartier où, comment puis-je dire ?	mafand	Senegalese News (MAFAND)
wo-ar-0710	Lay wi, ngir nëbb wax ji am ci jéggi dayoog njëgu roplaanu njiitu réew la, ci jamono joo xam ne jafe-jafey koom ak wàllu wér-gu-yaram ak askan dafa lëmbe réew mi.	كانت الذريعة للتغطية على الحديث عن المغالاة في سعر طائرة الرئاسية في وقت تشهد فيه الدولة أزمة اقتصادية وصحية واجتماعية.	L'excuse était toute trouvée pour brouiller les pistes sur le montage financier autour de l'acquisition polémique du nouvel avion de commandement présidentiel dans un contexte de crise économique, sanitaire et sociale.	mafand	Senegalese News (MAFAND)
wo-ar-0229	Te saa su yu laaj ak tontu doxee suñu diggante ak ñoom ma seetlu ko.	وألاحظ ذلك في كل مرة نلتقي بهم لطرح الأسئلة والأجوبة.	J'ai souvent eu l'impression que les personnes n'ont aucune considération pour la santé mentale des athlètes et je le vois à chaque fois que je participe à ces questions-réponses.	mafand	Senegalese News (MAFAND)
wo-ar-0336	Gis-gis yi wuutale ñaari nit ñi terewu leen a amal liggéey bu am solo ci pàrti bi nga xam ne ñoom ñoo ko taxal.	لم تمنع هذه الاختلافات الأيديولوجية التي فرقت بين الرجلين من العمل معا بشكل وثيق داخل الحزب الذي أسساه.	Ces différences idéologiques, qui séparaient ces deux hommes, ne les avaient pas empêchées de travailler étroitement, au sein du parti qu’ils avaient fondé.	mafand	Senegalese News (MAFAND)
wo-ar-1023	Yàgg bawul dara,	الوقت سيحكم،	Qui vivra verra !!!	mafand	Senegalese News (MAFAND)
wo-ar-0289	Dëgg la, di ngeen ma wax ne téeméer boo jël juróom-ñeent-fukk yi ak juróom ay jullit lañu, ñeent ya ca des ay katolig,	في الحقيقة ستقولون لي إن خمسة وتسعين منا مسلمون والأربعة الباقين نصارى،	Certe vous me direz que oui on a 95% de Muslims, 4% de chrétiens mais Dieu aime la droiture, et l'action.	mafand	Senegalese News (MAFAND)
wo-ar-0818	Sëñ Saar mi nga xam ne dawal mooy méccéem, ab saytukatu kaaraange moo ko jàpp ci guddi gi muy sàcc ab gaas ca Grand-Yoff ci wetu Zone de captage.	تم القبض على السيد سار الذي يمتهن قيادة السيارات من قبل حارس أمن ليلا في غراند-يوف وهو يسرق أسطوانة غاز بالقرب من Zone de captage.	Conducteur de profession, S. Sarr a été surpris nuitamment à Grand-Yoff, par un vigile en service au niveau de la Zone de captage en train de dérober une bonbonne de gaz de neuf (9) kilogrammes dans un véhicule appartenant à un autre acteur du transport.	mafand	Senegalese News (MAFAND)
wo-ar-0896	Su fekkee ne am gi, mu ngi ci diggante tus ba téeméer ak fukk ak juróom-ñeenti junni ak juróom-ñetti téeméer (0 et 599 000) ci Seefaa, juuti bi mooy téeméer ak juróom-ñett-fukk (900 F) ci Seefaa.	تكون الضريبة تسعمائة (900 ف) سيفا إذا كان الدخل يتراوح بين صفر وخمسمائة وتسعة وتسعين 0 و 599000) سيفا.	Si le revenu se situe entre 0 et 599000 FCFA, l'impôt est de 900 FCFA, et si c'est ente 600 000 FCFA et 999 000 FCFA, il est de 3600 FCFA.	mafand	Senegalese News (MAFAND)
wo-ar-0220	Ñoo ngi fësal ne loolu mënu leen a dakkal xeex bi.	يؤكدون أن هذا لن يمنعهم من مواصلة القتال.	Ils soutiennent cependant que cela ne va pas les empêcher de continuer le combat.	mafand	Senegalese News (MAFAND)
wo-ar-0255	Foog naa ne nit ñi fajuwuñu.	لدي انطباع بأن الناس لا يعالجون أمراضهم.	J’ai l’impression que les gens ne sont pas en train de se soigner.	mafand	Senegalese News (MAFAND)
wo-ar-0425	Góor ak jigéen ñu aay ñi bokkoon ci siiwalug naalu dundin wi ñu bëgg ci Senegaal, ca Nuwel-Akiten ak fépp sax.	شارك نساء ورجال موهوبون في الترويج لمشروعنا الاجتماعي الذي نبتغيه للسنغال في أقطانية الجديدة وفي كل مكان آخر.	Ces hommes et ces femmes de talents ont brillamment participé à la vulgarisation de notre projet de société pour le Sénégal, en Nouvelle-Aquitaine et partout ailleurs, résultant en la victoire écrasante d’Ousmane Sonko dans notre département, aux élections présidentielles de février 2019.	mafand	Senegalese News (MAFAND)
wo-ar-0796	Dafa tàmbalee tëj gémmiñu benn pàcc ci ñiy xeexal askan wi te defu ñu pólótig, ci loo xam ne da leen di ger, wala mu wañ seen loxo.	لقد بدأ بتكميم أفواه بعض المناضلين للشعب غير المسيسين؛ وذلك عن طريق رشوتهم أو إكراههم.	Il a d’abord muselé une partie de la société civile par des offrandes de privilèges ou encore par contraintes;Puis intimidé la presse libre et indépendante après avoir domestiqué une partie ;Ensuite, il a violé toutes les lois électorales qui organisent la désignation des élus; Et enfin, il a encastré les libertés individuelles.	mafand	Senegalese News (MAFAND)
wo-ar-0100	BEAC fàttali na ba tay jamonoy wàññi xaymab xaalis bi atum 1994, ne réewi CEMAC yi amoon nañu wàññikug seen xaalis, li wuuteek jamonoy tay.	كما ذكرBEAC أنه في وقت تخفيض قيمة العملة في عام 1994، كانت دول CEMAC تعاني من انخفاض قيمة عملاتها عكس ما يحدث اليوم.	La BEAC a aussi rappelé, que lors de la dévaluation de 1994 les pays de la CEMAC notamment connaissaient une récession économique, ce qui est différent actuellement.	mafand	Senegalese News (MAFAND)
wo-ar-0761	"Bataaxal yii maanaam ""doole dëgg mooy mën a woote fépp ci Senegaal"","	"هذه الرسائل: ""حقيقة القوة هي القدرة على التواصل في السنغال كلها""،"	Les messages ‘‘Seule une vraie force, permet d'appeller partout au Sénégal’’ ; ‘‘Le vrai truc de grand, c'est de pourvoir remplir ses obligations partout’’ ; ‘‘Le vrai boss domine partout’’ ; ‘‘C'est le vrai cool qui peut se connecter avec la 4G+ partout au Sénégal’’ montrent clairement une tentative de discréditer le concurrent Free, avec notamment une constance dans les messages : le réseau avec les mots ‘‘partout’’ et ‘‘n'importe où’’ qui font allusion à la couverture du territoire.	mafand	Senegalese News (MAFAND)
wo-ar-0197	Dañoo raam ba agsi fii tey : maanaam bokk ci pàrti yi nekk ci kujje yi askan wi gën a bàyyi xel.	لقد بدأنا من العدم إلى الوضع الحالي: بمعنى أحد أكثر أحزاب المعارضة شعبية.	Nous sommes convaincus que nous sommes le changement, nous n’attendrons pas désespérément le changement !Nous sommes partis du néant politique à la situation actuelle : l’un des Partis d’opposition les plus réputés du pays.	mafand	Senegalese News (MAFAND)
wo-ar-0641	Rabaa yeexu koo yég te fayoom mooy, fexe ba juróom-ñetti junniy tukkikat yu amul i këyit dugg ci dëkku Espaañ gii di Sewuta ci fukki fan ak juróom-ñaar ci weeru mee.	وسرعان ما علمت الرباط بذلك وكان انتقامها هو السماح لثمانية ألاف مهاجر غير شرعي بدخول سبتة الإسبانية في السابع عشرة من مايو.	Rabat ne tarde pas à l’apprendre et, comme mesure de représailles, permet à environ 8 000 migrants sans papiers de rejoindre l’enclave espagnole de Ceuta le 17 mai.	mafand	Senegalese News (MAFAND)
wo-ar-0598	Ñaari at ci kanam ak ñaari ayu-bès laata ñuy tambali Kub Afirig ba am ca Esipt, lañu tuumaaloon Seriñ bi ay loxoom set ci CAF.	تم اتهام السيد البريئ من CAF قبل عامين وأسبوعين من انطلاق بطولة كأس الأمم الإفريقية في مصر.	Deux ans plus tard et à deux semaines du coup d’envoi de la Coupe d’Afrique des nations organisée en Égypte, le Monsieur Propre de la CAF se retrouve à son tour sur le banc des accusés.	mafand	Senegalese News (MAFAND)
wo-ar-1119	Ku xool Meetar Elaas Juuf rekk, dinga gis ne li ñu ko fàtteli jëfu siif jigéen ja mu defoon te yoonu Farãas tegoon ko ci ay daan, metti na ko lool.	من ينظر إلى السيد الحاج ضيوف، ير أن تذكيره بقضية الاعتداء الجنسي التي ارتكبها وأدين به من قبل القضاء الفرنسي قد آلمه كثيرا.	Maître El Hadj Diouf a visiblement été affecté par une fine piqure de rappel sur une affaire d’agression sexuelle le concernant et qui a fait l’objet de condamnation par la justice française.	mafand	Senegalese News (MAFAND)
wo-ar-0659	Ñiy dugal seeni koppar ci koom-koom bi ak Bànk yi dañuy sukkandiku ci tolluwaayu pólótig bi ngir dugal seen xaalis mu jural leen dara.	يعتمد المستثمرون والبنوك على مستوى السياسة لاستثمار أموالهم والاستفادة منها.	En effet, les investisseurs et les Banques se basent sur le niveau de risque politique avant d’investir leur argent.	mafand	Senegalese News (MAFAND)
wo-ar-0374	Jigéen jii nga xam ne bokk na ci ñi gën a mag ci ñiy yënagtu ci wàllu xeltu ak caada ci Senegaal, moom la waa IFAN di sargal ci turu kenn koo xam ne, ginnaaw ba ñu moomee suñu bopp, bokk na ci nit ñi gën a am solo ñuy xeex ngir ñu dooleel làkkI réew.	سيشيد IFAN بهذه المرأة التي تعد واحدة من الأشخاص الرائدين الذين يعملون في الفكر والثقافة السنغالية؛ باعتبارها واحدة من أهم الأشخاص الفاعلين في النضال من أجل تعزيز اللغات الوطنية في حقبة ما بعد الاستعمار.	C’est à cette dame, grande figure de la vie intellectuelle et culturelle sénégalaise , que l’IFAN compte rendre hommage en tant que l’un des acteurs les plus importants du combat pour la promotion des langues nationales de l’ère post-coloniale .	mafand	Senegalese News (MAFAND)
wo-ar-0019	Su fekkoon ne xamuñu woon àmbar bu dóomu-taal bi, kon doonuñu woon abal nattukaay bi wala ñu doon nekk di caaxaane ngir suuxug jënu balen wi.	لو كانوا جاهلين بالعنبر الرمادي لما أولوا أي اهتمام أو كانوا يعبثون بسبب جنوح الحوت.	S'ils étaient ignorants sur l'ambre gris, ils n'y auraient même pas prêté une once attention ou seraient dans la mystification de l'échouage de la baleine.	mafand	Senegalese News (MAFAND)
wo-ar-0830	Lii nekkul rekk ay gént waaye dafay fës saa su ne ci kàddu ak yëngu-yënguy pólótigu ñaari njiit yii.	هذا ليس مجرد حلم ولكنه يظهر دائما في الكلمات والأفعال السياسية لهذين الزعيمين.	Voter, pour ne citer qu’un exemple, est un devoir, dans la conception que je me fais de la démocratie, beaucoup plus qu’un droit, à tel point que l’esprit de la Constitution sénégalaise me semble exclure la possibilité, pour un citoyen, de faire acte de renonciation volontaire à la qualité de citoyen participant aux préoccupations de la politique de la Cité… Et Ousmane Sonko, qui fit de Mamadou Dia un de ses pères idéologiques en politique (D’ailleurs le siège de son parti porte son nom), l’étaye par ces mots : Et d’ailleurs, qu’est-ce le pouvoir si ce n’est simplement un sacerdoce, le serment de s’oublier et de se sacrifier pour sa patrie… Ce qui est indispensable à un leadership étatique de qualité, c’est d’avoir un bon background intellectuel et socioprofessionnel, une vision claire, une détermination à servir sa nation sur la base de l’intégrité, du désintéressement, du patriotisme, un cran indéfectible et une bonne équipe…… Ces définitions, loin d’être des idéaux seulement, sont omniprésentes dans les discours et les actes politiques de ces deux leaders.	mafand	Senegalese News (MAFAND)
wo-ar-0945	"""Dama mës a xam ne mën naa génn kaso jamono ju nekk, ci bés bi walla ci guddi gi"", loolu la wax ci waxtaan wi mu amaloon ak tele Itv bi."	"""لطالما علمت أنه يمكنني الخروج من السجن في أي وقت، ليلا أو نهارا""، هذا ما صرح به في المقابلة التي أجراها مع تلفزيون Itv."	J'ai toujours su que je pouvais sortir de la prison àtout moment, de jour comme de nuit, déclare-t-il dans l'entretien qu'ila accordé o la télévision ITV.	mafand	Senegalese News (MAFAND)
wo-ar-0913	Fu mu toll ci tëralinu lu ëpp wala lu yées juróom-ñaar téeméer ak juróom-fukki milyaar yi mu gëmloo ne def na ko ci, te mu ne saafara na jafe-jefey mbënd mi ?	أين هو من برنامج أكثر أو أقل من سبعمائة وخمسين مليار الذي يدعي أنه ضخه فيه، وقال إنه حل مشكلة الفيضانات؟	Qu’en est-il du programme de + ou – 750 milliards qu’il prétend avoir injectés et avec lesquels il aurait réglé la question des inondations ?	mafand	Senegalese News (MAFAND)
wo-ar-1010	Dama bëgg a wax foofu ne, jot na sëkk, ñu bàyyi di ko jëfandikoo ni gannaay, te def ko ngir ñaari sabab.	وأعني بهذا أن الوقت قد حان للتوقف عن استخدامه كسلاح، وفعله لسببن.	Je veux dire par là qu’il est grand temps que nous arrêtions de l’utiliser comme argument massue, et ceci pour deux raisons.	mafand	Senegalese News (MAFAND)
wo-ar-1144	te mu bokk ci li tax Lopitaal Abaas Ndaw nekk tey lopitaal bu baax,	والتي ساهمت في جعل مستشفى عباس انداو مستشفى جيدا،	Le représentant des retraités, celui du Sames Djiby Sow, celui de l’intersyndicale et de la commission médicale d’établissement…ont salué les actes de gestion posés par Dr Seck et qui ont vivement contribué au rayonnement et à la performance de l’Hôpital Abas Ndao.	mafand	Senegalese News (MAFAND)
wo-ar-0132	Lii, gànnaaw bi ñu fésalee ci bokk-jokkoo gi ab bataaxal bu jëm ci jëwrin ji ñu dénk biir réew mi, Aali Nguy Njaay.	وذلك بعد أن نُشرت على الشبكة الاجتماعية رسالة موجهة إلى وزير الداخلية علي انغوي انجاي.	Ce, après avoir publié sur facebook une lettre ouverte au ministre de l'Intérieur Aly Ngouille Ndiaye.	mafand	Senegalese News (MAFAND)
wo-ar-0762	"""Yëfu ponkal dëgg mooy mën a def la war fépp"","	"""وحقيقة العظمة هي القدرة على إنجاز ما يجب في كل مكان""،"	Les messages ‘‘Seule une vraie force, permet d'appeller partout au Sénégal’’ ; ‘‘Le vrai truc de grand, c'est de pourvoir remplir ses obligations partout’’ ; ‘‘Le vrai boss domine partout’’ ; ‘‘C'est le vrai cool qui peut se connecter avec la 4G+ partout au Sénégal’’ montrent clairement une tentative de discréditer le concurrent Free, avec notamment une constance dans les messages : le réseau avec les mots ‘‘partout’’ et ‘‘n'importe où’’ qui font allusion à la couverture du territoire.	mafand	Senegalese News (MAFAND)
wo-ar-0195	Réew muy liggéey rekk a ko mën a am.	الدولة التي تعمل فقط هي التي تستطيع أن تحصلها.	”C’est le motif officiel, mais on peut bien sûr se poser des questions puisque sa présence a créé la polémique, car il n’avait pas du tout le niveau, et certains joueurs, comme Terrell Stoglin, n’ont pas manqué de faire savoir qu’il n’avait rien à faire là, même si d’un point de vue médiatique c’était un joli coup.	mafand	Senegalese News (MAFAND)
wo-ar-0026	Yàq gu metti!	يا لها من خسارة!	Quel gâchis !En lisant votre demande de radiation ironique, nous avons remarqué l’agitation de jeunes à ambition leste.	mafand	Senegalese News (MAFAND)
wo-ar-0912	Dinañu ko xam : ay wax yu teguwul mëneesu koo dëggal.	سوف نفهمها: أقوال باطلة لا يمكن تصديقها.	On l’aura bien compris : un aveu d’impuissance ne peut être plus avéré.	mafand	Senegalese News (MAFAND)
wo-ar-0637	Futbal fépp la ñu koy defe ci Afirig.	تُلعب كرة القدم في جميع أنحاء أفريقيا.	Le football s’organise partout en Afrique, il y a un besoin de cadres bien formés à tous les niveaux.	mafand	Senegalese News (MAFAND)
wo-ar-0886	Ful mboolooy njàngum jiite (TD) meek jëfe (TP), ngir seen i xaaj ngir moytu néegu daara yu fees yeek i nit, rawatina ñi seen njàng tollu ci at mu jëkk mi (L1), ñaareelu at mi (L2), ak ñetteelu at mi (L3) ci daara yi seen jumtukaayi njàngale matale.	مضاعفة الدروس التوجيهية (TD) والتطبيقية (TP) لفئتهم، لتجنب اكتظاظ الفصول وخاصة من في السنة الأولى (L1)، والسنة الثانية (L2)، والسنة الثالثة (L3) في الجامعات تسمح بها أدواتها الدراسية.	Exiger le passage au thermoflash devant les amphithéâtres et les salles de T. D;Renforcer le service de sécurité dans les campus sociaux chargé de limiter le surpeuplement dans les chambres avec le fameux système de clandotage;Mettre l’accent sur l’information et la sensibilisation par le biais des affiches, flyers, panneaux publicitaires à propos des mesures barrières;Revoir le découpage du calendrier universitaire pour le reste de l’année et adapter le quantum horaire aux réalités de la pandémie;Penser à un programme minimal en mettant l’accent sur les chapitres essentiels majeurs selon le quantum horaire à couvrir, comme c’est le cas avec les classes de Terminales dans le cycle secondaire;Combiner le présentiel avec l’enseignement à distance: privilégier les enseignements à distance pour les cours magistraux et maintenir les TD et TP en présentiel;Multiplier les groupes de TD et de TP pour éviter les classes pléthoriques, surtout au niveau des L1, L2 et L3, dans les établissements où les infrastructures pédagogiques le permettent.	mafand	Senegalese News (MAFAND)
wo-ar-0872	ndax xabaabal ci njëg li nu fésal ci awiyoŋu Airbus A320, mën na yombal, luy tollook ay téeméeri milyoŋ, ngir xam njëgu awiyoŋ bi nu digee jënd.	لأنه من خلال التفصيل في السعر الذي تم عرضه لطائرة إيرباص A320، يمكن خصم ما يقدر بمئات من الملايين لمعرفة ثمن الطائرة التي تم الوعد بشرائها.	Donc, il faut être vraiment nul pour élaborer une ligne de défense fondée sur le secret défense, car en extrapolant sur le prix catalogue d'un Airbus A320 on peut facilement, à quelques centaines de millions près, déterminer le coût de l'avion de commandement.	mafand	Senegalese News (MAFAND)
